Institution Name,Race/ethnicity,Statistic,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Southwestern Illinois College,American Indian or Alaska Native ,Adjusted cohort,1,1,2,1,2,2,0,1,0,1
Southwestern Illinois College,,Completed within 150% of normal time,0,0,0,1,1,0,0,0,0,1
Southwestern Illinois College,Asian ,Adjusted cohort,8,4,6,2,7,10,2,5,6,11
Southwestern Illinois College,,Completed within 150% of normal time,2,1,1,0,2,4,0,0,3,5
Southwestern Illinois College,Black or African American ,Adjusted cohort,137,124,157,169,175,172,152,131,124,123
Southwestern Illinois College,,Completed within 150% of normal time,20,19,19,16,30,30,26,21,16,9
Southwestern Illinois College,Hispanic or Latino,Adjusted cohort,42,37,48,50,48,47,30,29,19,17
Southwestern Illinois College,,Completed within 150% of normal time,6,8,10,4,9,12,3,6,6,1
Southwestern Illinois College,Native Hawaiian or Other Pacific Islander ,Adjusted cohort,1,0,0,1,2,1,0,1,0,0
Southwestern Illinois College,,Completed within 150% of normal time,1,0,0,1,2,0,0,0,0,0
Southwestern Illinois College,White ,Adjusted cohort,551,616,624,703,726,754,518,559,604,656
Southwestern Illinois College,,Completed within 150% of normal time,183,193,225,239,230,226,152,175,172,167
Southwestern Illinois College,Two or more races ,Adjusted cohort,53,51,62,72,68,56,40,29,33,0
Southwestern Illinois College,,Completed within 150% of normal time,9,12,26,15,15,14,6,6,6,0
Southwestern Illinois College,Race/ethnicity unknown ,Adjusted cohort,33,40,28,32,48,76,27,34,26,0
Southwestern Illinois College,,Completed within 150% of normal time,8,9,9,8,10,20,6,7,5,0
Southwestern Illinois College,Nonresident alien ,Adjusted cohort,5,2,2,4,0,0,1,0,0,1
Southwestern Illinois College,,Completed within 150% of normal time,0,1,1,2,0,0,0,0,0,0
Black Hawk College,American Indian or Alaska Native ,Adjusted cohort,2,1,0,1,0,1,2,3,2,7
Black Hawk College,,Completed within 150% of normal time,0,0,0,1,0,0,0,1,0,5
Black Hawk College,Asian ,Adjusted cohort,3,3,2,3,1,1,6,4,1,9
Black Hawk College,,Completed within 150% of normal time,2,2,0,2,1,0,0,0,0,4
Black Hawk College,Black or African American ,Adjusted cohort,33,34,31,40,41,38,30,48,46,26
Black Hawk College,,Completed within 150% of normal time,4,4,3,2,1,4,1,3,0,2
Black Hawk College,Hispanic or Latino,Adjusted cohort,80,98,61,50,46,55,51,47,52,30
